2019/01,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,극한직업,2019-01-23,"40,034,435,340",26.50%,"40,034,435,340","4,810,447","4,810,447","1,978","83,651",,1,남산의 부장들,2020-01-22,"33,670,891,220",23.40%,"33,670,891,220","3,874,419","3,874,419","1,659","80,854"
2,말모이,2019-01-09,"22,614,488,463",15.00%,"22,918,995,463","2,684,531","2,738,107","1,203","82,893",,2,백두산,2019-12-19,"16,891,094,350",11.80%,"69,796,884,120","1,958,389","8,248,891","1,241","73,893"
3,내안의 그놈,2019-01-09,"16,207,111,957",10.70%,"16,325,647,957","1,890,041","1,905,212","1,041","61,139",,3,히트맨,2020-01-22,"16,122,374,840",11.20%,"16,122,374,840","1,874,016","1,874,016","1,122","48,942"
4,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,"13,825,145,903",9.10%,"13,867,540,903","1,747,568","1,752,084","1,453","56,009",,4,닥터 두리틀,2020-01-08,"13,395,322,970",9.30%,"13,395,322,970","1,598,856","1,598,856","1,290","67,658"
5,아쿠아맨,2018-12-19,"13,651,894,323",9.00%,"44,106,186,704","1,545,425","5,037,282","1,158","50,463",,5,해치지않아,2020-01-15,"9,966,878,950",6.90%,"10,095,111,950","1,186,777","1,201,814","1,216","50,490"
6,보헤미안 랩소디,2018-10-31,"6,065,048,600",4.00%,"86,075,488,945","698,174","9,922,756",732,"26,704",,6,천문: 하늘에 묻는다,2019-12-26,"8,678,111,110",6.00%,"16,486,354,060","1,029,221","1,994,845",929,"43,039"
7,PMC: 더 벙커,2018-12-26,"4,313,955,557",2.90%,"14,018,202,924","491,528","1,670,559",893,"23,084",,7,미드웨이,2019-12-31,"7,102,189,070",4.90%,"8,187,848,590","818,269","951,642",842,"32,438"
8,글래스,2019-01-17,"4,255,172,182",2.80%,"4,255,172,182","464,015","464,015",837,"24,095",,8,시동,2019-12-18,"6,853,925,560",4.80%,"28,090,403,360","789,954","3,315,940",825,"34,718"
9,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,"3,125,150,820",2.10%,"3,126,428,820","408,088","408,230",763,"14,970",,9,미스터 주: 사라진 VIP,2020-01-22,"4,675,193,020",3.30%,"4,681,685,020","555,022","555,962",692,"22,398"
10,범블비,2018-12-25,"3,326,629,455",2.20%,"13,082,713,207","393,524","1,560,674",766,"18,196",,10,나쁜 녀석들: 포에버,2020-01-15,"4,785,334,880",3.30%,"4,785,514,880","535,007","535,037",896,"28,775"
합계,,,"127,419,032,600",84.30%,"257,810,812,445","15,133,341","30,269,366","10,824","441,204",,합계,,,"122,141,315,970",84.90%,"205,312,391,010","14,219,930","24,151,422","10,712","483,205"
,,,,,,,,,,,,,,,,,,,,
2019/02,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/02,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
1,극한직업,2019-01-23,"94,726,658,836",49.90%,"134,761,094,176","10,889,036","15,699,483","2,003","184,495",,1,정직한 후보,2020-02-12,"11,936,890,440",19.20%,"12,006,292,440","1,416,455","1,426,367","1,187","69,719"
2,알리타: 배틀 엔젤,2019-02-05,"18,263,221,427",9.60%,"18,305,323,427","1,919,140","1,921,657","1,043","51,345",,2,클로젯,2020-02-05,"10,867,367,940",17.40%,"10,918,537,940","1,259,078","1,264,943","1,197","70,487"
